Rate Plan	Pws cost	New Cost
Cirrus VZW Demo :: 33159879-ee77-4659-92a6-0f198f4ae229	0.5	0.252363281
FREESTONE :: VZWPublic :: (154) :: 1 MB	0.5	0.252363281
GENTRIFI :: VZWPublic :: (17) :: 1 MB	0.5	0.252363281
EM-Energy Solutions-TMO-PUBS-5GB	30.25	
AlsoEnergy VZW PN 1MB	0.5	0.252363281
iRhythm VZW 1MB :: d44e2087-a5cf-4921-ba59-624008bd648b	0.5	0.252363281
Comprise VZW 1MB	0.5	0.252363281
IdahoMotor_VZW_1MB	0.5	0.252363281
511 Technologies-VZW-DIA-1MB	0.5	0.252363281
Vision_1MB_VZW_M1	0.5	0.252363281
Voltus-DEMO-AT&T-DIA-1GB	25	
Parcel Pending-DEMO-TELUS-DIA-1GB	75	
Ojo VZW 1MB	0.5	0.252363281
"DMG North, Inc-ATT-DIA-PPU"	2.99	
"Panevo-VDF-PUBD-250MB-Vodafone North American plan (good for US, Cana..."	11.8	
MSF_VZW_1MB	0.5	0.252363281
Naak VZW 1MB DIA	0.5	0.252363281
Blackhawk VZW 1MB	0.5	0.252363281
"MonoLets, Inc.-VDF-DIA-PPU-Vodafone - Carrier Tier 1"	5	
BPI (Bright Power)-ATT-DIA-250MB	5.49	
Power House Dynamics-TMO-PUBD-1GB	7	
Platinum Advisors-DEMO-TMO-PUBS-1GB	7	
Platinum Advisors-DEMO-ATT-DIA-1GB	8	
PWS Script Development - John Deere VZW 1MB	0.5	0.252363281
CL&P-VZW-PN-1MB	0.5	0.252363281
Clarified Inc. DBA Tumble-ATT-DIA-1GB	8	
Herzog Demo Plan - VZW	0.5	0.252363281
LiveBarn Inc-TMO-PUBS-25GB :: 874421b6-6c4c-4fad-9caa-e907f6c0d5aa	45	
Micro Design :: VZW :: Public Dynamic :: 1MB	0.5	0.252363281
John Deere (MoreDirect) VZW PN 1MB	0.5	0.252363281
100Plus :: VZW Public Dynamic :: 1MB	0.5	0.252363281
 Barbary Partners LLC-DEMO-TMO-1GB	25	
USConnect LLC-VZW-PUBD-1MB-TEST :: d1ef0e64-2e28-4385-b5d8-be080d978e4a	0.5	0.252363281
P3 USA Inc-DEMO-TMD-PUBD-1GB	25	
In Time Tec-DEMO-TMO-DIA-1GB	25	
"EVmatch, Inc-ATT-DIA-150MB"	4.5	
"EVmatch, Inc-NSA-VZW-PUBD-150MB"	0.84	0.604492188
SensoScientific-VZW-DIA-150MB	0.84	0.604492188
Pilot-Fiber-DEMO-TMD-PUBS-1GB	25	
Ranch Systems-VZW-PUBD-5MB	0.48	0.261816406
GREENbike-VZW-PUBS-2GB	5.25	5.09
Gary VZW 500KB :: 2ed26733-b35a-4628-8ade-6ac5e970cc12	0.4	0.251153946
Midwest PMS VZW 500KB	0.4	0.251153946
Voltus-ATT-DIA-20MB	3.2	
Digi-Sec-DEMO-TMD-PUBD-1GB	25	
USConnect LLC-VZW-PUBD-1MB-PROD :: 0e5e57f2-3ee9-4673-a1ed-c78b0729ca6b	0.35	0.252363281
Bada Systems-VZW-PUBS-50MB	0.45	0.368164063
L.A. Drones LLC-TMO-PUBS-10GB	50	
Morgan Stanley Smith Barney LLC-VZW-PUBD-1GB	2.75	2.67
Council Rock-DEMO-VZW-PUBS-1GB	2.75	2.67
"Platinum Advisors, LLC-TMO-PUBS-250GB"	1125	
Mainspring Energy-VZW-PUBD-1GB	2.75	2.67
Madgig Networks-TMO-PUBD-PPU	1	
Future Energy Group LLC-VZW-DIA-500MB	1.5	1.431640625
AgLogica Holdings Inc-TMD-PUBS-100GB	160	
Lexmark International-TMD-PUBS-PPU	1	
PWS-TMD-DEMO	60	
One Medical-VZW-PUBS-40MB	0.41	0.34453125
Ondas Networks-ATT-PUBD-2GB	16	
"NeuroPace, Inc.-VZW-PUBD-35MB"	0.39	0.332714844
National Home Health Services-VZW-PUBD-25MB	0.35	0.309082031
Mike Bae TMO Test (Direct)	0	
Mike Bae PWS Test	0	
Unaliwear VZWPublicDynamic 20MB	0.33	0.297265625
Voltus-VZW-DIA-20MB	0.33	0.297265625
"Meridian Zero Degrees, LLC-ATT-DIA-2GB"	23	
"GPS of Things, Inc.-VZW-PUBD-20MB"	0.33	0.297265625
"Zendaccess, Inc DBA Bluetoothkey-PWS-PUBD-PPU"	0.45	
IP Source-VZW-PUBS-500MB	1.46	1.431640625
ZEF Energy Inc.-PWS-PUBD-PPU	0.45	
GPS of Things-VZW-PUBD-5MB	0.28	0.261816406
Amazon Falls REF Acquisition LLC-ATT-PUBD-10GB	50	
Power Standards Lab-VZW-PUBS-2GB	5.1	5.09
Municon West Coast Inc-VZW-PUBS-2GB	5.1	5.09
ZEF Energy Inc.-ATT-PUBD-1GB	8	
Powerside-VZW-PUBS-2GB	5.1	5.09
Electrotechnics Corp-VZW-DIA-1MB	0.26	0.252363281
GS Trackme-TMD-PUBD-PPU-1MB	1	
GS Trackme-TMD-PUBD-PPU-10GB	1	
"Cantey Technology Consulting, LLC-PWS-PUBD-PPU"	0.4	
"Analog Devices, Inc.-VDF-PUBD-PPU-Vodafone Countries - ROWMid Tier, All Carriers"	1	
"Highland Electric Transportation, Inc-ATT-PUBD-PPU"	2.99	
"Formant, Inc.-TMD-PUBS-20GB"	45	
 LiveBarn Inc-TMD-PUBS-25GB	45	
Bolt Mobility Corporation-VZW-PN-1MB-FS	0.26	0.252363281
S&M Moving-DEMO-TMD-PUBD-1GB	25	
Microspace Communications-DEMO-TMD-PUBS-1GB	25	
Microspace Communications-DEMO-PWS-PUBS-1GB	25	
ZEF Energy Inc.-TMD-PUBD-1GB	7	
"Pilot Fiber, Inc-TMD-PUBS-PPU-IPv6-ONLY"	1	
SuperAlloy Interactive-DEMO-AT&T-DIA-1GB	25	
CL&P VZW PN 1MB-FR :: a6e073ea-5e61-4d1a-aaf8-1d58a2475723	0.26	0.252363281
Energy Boom-VZW-PUBD-1MB	0.26	0.252363281
HALOGEN SYSTEMS INC-VZW-PUBD-10MB	0.28	0.273632813
Sensawash-VZW-PUBD-150MB	0.61	0.604492188
"Applocation Systems, Inc-VZW-DIA-2MB"	0.26	0.254726563
"MonoLets, Inc.-PWS-PUBD-PPU"	0.4	
"Lamarr, Inc.-VZW-PUBS-100MB"	0.49	
GMV Syncromatics-VZW-PUBD-300MB	0.96	
Carbon Health Medical Group Inc-TMD-PUBD-40GB	65	
GMV Syncromatics-VZW-PUBS-300MB	0.96	
Infiswift-VZW-PUBD-25MB	0.31	
"IBS2, LLC-VZW-PN-1MB"	0.2524	
Silicon Ranch-VZW-PUBS-100GB	242.25	
Silicon Ranch-VZW-PUBS-20GB	48.65	
R-Zero Systems-DEMO-PWS-PUBD-1GB	25	
Reserve Golf Club-VZW-PUBD-PPU	0.25	
Alaris-VZW-PUBD-PPU	0.25	
Paul McKairnes-VZW-DIA-PPU	0.25	
VZW-DEMO-PUBD-PPU-ANALOG	0.25	
Compology Inc-VZW-PUBS-PPU	0.25	
Compology Inc-VZW-PUBD-PPU	0.25	
Versatile Studios Inc-VZW-PUBS-PPU	0.25	
Hornblower-VZW-DIA-PPU	0.25	
Electrotechnics Corp-VZW-DIA-PPU	0.25	
Meter Group Inc-VZW-PUBD-PPU	0.25	
NovaCharge-VZW-PN-PPU	0.25	
PWSDEMO-VZW-PUBS-PPU	0.25	
"Gryphon Environmental, Inc-PWS-PUBS-PPU"	0.4	
Roevic VZW Test	0.25	
Microspace Communications-VZW-PUBS-PPU	0.25	
Future Energy Group-DEMO-TMD-PUBS-1GB	25	
"LiveBarn, Inc-DEMO-PWS-PUBD-1GB :: c2ad2f31-281c-44dd-a046-7f127a9e10bd"	25	
ClearEdge Wireless-VZW-PUBD-PPU	0.25	
BallerTV-VZW-PUBD-PPU	0.25	
Applocation-DEMO-PWS-PUBD-1GB	25	
Greenlots-VZW-PUBS-PPU-RR	0.25	
Greenlots-VZW-DIA-PPU-RR	0.25	
Bedestrian-VZW-PUBS-PPU	0.25	
In Time Tec-VZW-PUBD-PPU	0.25	
The Salvation Army-DEMO-PWS-PUBD-1GB	25	
The Salvation Army-DEMO-ATT-DIA-1GB	25	
Appriss Retail-DEMO-ATT-DIA-1GB	25	
STRYTEN-VZW-PN-PPU	0.25	
"Medellin Logistics, Inc.-VZW-PUBD-PPU"	0.25	
Appriss Retail-DEMO-PWS-PUBD-1GB	25	
MeLink Corporation-VZW-PUBD-PPU	0.25	
Parcel Pending-TLS-PUBD-2GB	16	
Fujitsu General-PWS-PUBS-PPU	0.4	
Fujitsu General-TMD-PUBS-PPU	1	
Fujitsu General-ATT-PUBS-PPU	2.99	
"Highland Electric Transportation, Inc-VZW-DIA-PPU"	0.25	
iRhythm Technologies-VZW-DIA-PPU	0.25	
Starship Technologies-VZW-PUBD-PPU	0.25	
"Metropolitan Industries, Inc.-TMD-PN-250MB :: 4538d4ff-465b-4ee2-a246-41c761763425"	2.5	
"Envirosmarts, LLC-ATT-PUBD-250MB"	5.5	
Madgig Networks-VZW-PUBD-PPU	0.25	
farm-ng inc-DEMO-ATT-DIA-1GB	25	
R-Zero Systems-NSA-PWS-PUBD-25MB	1.65	
Vibro- Acoustic Consultants Company dba VACC-PWS-PUBD-250MB	2.9	
"ATM Consultants, LLC-DEMO-TMD-PUBS-1GB"	25	
ZEF Energy Inc-VZW-DIA-PPU	0.25	
"Metropolitan Industries, Inc.-TMD-PN-1MB"	0.3	
ZEF Energy Inc.-VZW-PUBD-PPU	0.25	
Teledyne ISCO Inc-DEMO-PWS-PUBD-1GB	25	
"Metropolitan Industries, Inc.-TMD-PN-250MB"	2.5	
"Metropolitan Industries, Inc.-TMD-PN-50MB"	1.3	
Hepton Livestock LLC-VZW-PUBD-PPU	0.25	
DMG-WELLS-DEMO-PWS-DIA-1GB :: 8c8065df-074c-41aa-a133-df1f78647db3	25	
NovaCharge-VDF-PN-200MB	15	
 Greenlots-VZW-PUBD-PPU-RR	0.25	
Spokane Security Systems (DBA Certified Security and Integration)-TMD-PUBS-5GB	25	
"One Diversified, LLC-VZW-PUBS-PPU :: 39b0c74b-0ca8-4513-8269-156bede48477"	0.25	
 Future Energy Group-DEMO-PWS-DIA-1GB :: 79b6dc1a-5883-4637-b07f-f5366bf0c6b2	25	
Castles Technology-DEMO-PWS-PUBD-1GB	25	
 PWS :: ATTPublic :: (502) :: 2 MB	0	
DMG-BOFA-VZW-PUBS-PPU :: 6527fdbe-7218-44f1-8710-24cbd133a5a8	0.25	
"Avenue 44 Productions, Inc-VZW-PUBS-PPU"	0.25	
"Pilot Fiber, Inc-VZW-PUBS-PPU"	0.25	
"Husk Companies, Inc-VZW-PUBD-PPU"	0.25	
Nordsense Inc-DEMO-PWS-PUBD-1GB	25	
"Gryphon Environmental, Inc-VZW-PUBS-PPU"	0.25	
Rachio-DEMO-PWS-PUBD-1GB	25	
Bloom Energy-DEMO-ATT-PN-1GB	25	
Future Energy Group LLC-PWS-PN-500MB	4.4	
"AAEON Electronics, HQ-TMO-PUBS-10GB"	50	
"Aaeon Electronics, HQ-TMD-PUBS-10GB"	25	
Microspace Communications (Merged)-PWS-PUBD-PPU	0.4	
Fujitsu General-VZW-PUBS-PPU	0.25	
 USConnect LLC-DEMO-PWS-PUBD-1GB :: 9b01acaa-f893-4179-af2d-32e019108dad	25	
"Ken Derks & Associates, LLC-VZW-PUBS-PPU"	0.25	
Active Network Management Solutions Inc.-VZW-PUBS-5GB	12.35	
Ray Walker-VZW-PUBD-20GB	48.65	
Micro Design Inc.-VZW-PUBD-PPU	0.25	
GREENbike-VZW-PUBS-1GB	2.67	
 Greenlots-PWS-PUBD-PPU	0.4	
Bismarck Parks and Recreation District-VZW-PUBD-1GB	2.67	
"Cincy Bike Share, Inc.-VZW-DIA-1GB"	2.67	
Electrotechnics Corp-TMD-DIA-PPU	1	
"AMERESCO ASSET SUSTAINABILITY GROUP, LLC-VZW-PUBD-1GB"	2.67	
"Exhibit People, LLC-ATT-PUBD-PPU"	2.99	
"Exhibit People, LLC-VZW-PUBD-PPU"	0.25	
Atlas Claims Investigation-VZW-PUBD-10GB	24.45	
ARSintel-DEMO-VZW-PUBD-1GB	2.67	
Steven Jackson-VZW-PUBS-20GB	48.65	
 ARSintel-DEMO-ATT-DIA-1GB	25	
AgriPower Solar-VZW-DIA-PPU	0.25	
DMG-WELLS-VZW-DIA-PPU	0.25	
Electrotechnics Corp-TLS-DIA-1MB	1	
"Alaris, Inc.-ATT-DIA-PPU"	0.19	
"Envirosmarts, LLC-ATT-PUBD-150MB"	3.35	
Michael Aronson-VZW-PUBS-40GB	97.05	
Sensawash-DEMO-PWS-PUBD-1GB	25	
"Digital Fleet, LLC-VZW-PUBD-1GB"	2.67	
ZEF Energy Inc.-VDF-PUBD-PPU-Vodafone: Global (World Countries 1) All Networ...	0.2	
Ecoplant INC-VZW-PUBD-2GB	5.09	
Volta-VZW-PUBS-PPU-MB	0.25	
"eComputer, Inc DBA GoExceed-VZW-PUBS-PPU"	0.25	
MBK Real Estate Companies LLC-DEMO-TMO-PUBD-1GB	25	
LiveBarn Inc-VZW-PUBD-PPU	0.25	
"MDG Connected Solutions, Inc (dba 5Gstore)-VZW-PUBD-PPU"	0.25	
Paso Robles Golf Club-VZW-PUBS-1GB	2.67	
DMG-Birmingham VA-VZW-PUBS-PPU :: 2e97e8ae-6e91-4069-b6a0-c80581154201	0.25	
"MDG Connected Solutions, Inc-DEMO-PWS-PUBD-1GB-GREY :: 810a917e-4baa-4fa0-81c3-21794c070f32"	25	
Ralph Sellers-VZW-PUBS-10GB	24.45	
James Nurcombe-VZW-PUBS-40GB	97.05	
"eComputer, Inc DBA GoExceed-PWS-PUBD-PPU"	0.4	
"eComputer, Inc DBA GoExceed-TMD-PUBD-PPU"	1	
LiveBarn Inc-PWS-PUBD-PPU-BLUE	1.9	
Elmer Fudd-VZW-DEMO-PUBD-1GB	2.67	
Cobalt Robotics-PWS-PUBD-1GB	8.4	
Bryodyn Technologies LLC-VZW-PUBD-20GB	48.65	
EMTensor-DEMO-AT&T-DIA-1GB	25	
Electrotechnics Corp-ATT-DIA-PPU	0.19	
Bryodyn Technologies LLC-VZW-PUBD-10GB	24.45	
TechSmith Corporation-VZW-PUBD-1GB	2.67	
"A.M. Sun Solar, Inc-DEMO-PWS-PUBD-1GB"	25	
HALOGEN SYSTEMS INC-DEMO-VZW-PUBD-1GB	2.67	
QCC Quality Controls Corp-DEMO-VZW-PUBD-1GB	2.67	
"MDG Connected Solutions, Inc (dba 5Gstore)-PWS-PUBD-PPU-BLUE"	0.4	
"Indianapolis Cultural Trail, Inc. BCycle-VZW-PUBS-2GB"	5.09	
Reign RMC LLC-DEMO-PWS-PUBD-1GB	25	
Global Connect-PWS-PN-1MB-US	0.4	
Global Connect-PWS-PN-1MB-CAN	0.4	
Karen Muhlschlegel-VZW-PUBS-10GB	24.45	
Generate Capital Inc.-ATT-PUBD-1GB	5.99	
GossRv-VZW-PUBS-10GB	24.45	
Advantage Industrial Systems-VZW-PUBD-50GB	121.25	
Advantage Industrial Systems-VZW-PUBD-PPU	0.25	
Rajant Corporation-VZW-PUBS-PPU	0.25	
Cobalt Robotics-VZW-PUBD-PPU	0.25	
"MDG Connected Solutions, Inc (dba 5Gstore)-VZW-PUBS-PPU"	0.25	
Bryodyn Technologies LLC-ATT-PUBD-10GB	44.99	
Serve Robotics-VZW-PUBD-30GB	72.85	
Marine Exchange of the San Francisco Bay Region-VZW-PUBS-1GB	2.67	
"Dexterity, Inc.-VZW-PUBS-PPU"	0.25	
HALOGEN SYSTEMS INC-DEMO-ATT-DIA-1GB	5.99	
Rajant Corporation-TMD-PUBS-PPU	1	
DMG (One Diversified LLC)-VZW-PUBD-PPU	0.25	
ZPE Systems-VZW-PUBS-PPU	0.25	
Flexigo-DEMO-VZW-PUBD-1GB	2.67	
"Gatekeeper Systems, Inc-DEMO-VZW-PUBS-1GB"	2.67	
"IntElect, Inc-DEMO-VZW-PUBD-1GB"	2.67	
"Control Module, Inc. :: 34d26cf0-07c2-45f6-809f-e837c8ff3ad3"	12.35	
"A.M. Sun Solar, Inc-PWS-PUBD-PPU"	0.4	
"Control Module, Inc."	2.67	
CoWorkr Inc.-VDF-PUBD-250MB-Vodafone Mid 2 Carrier	6	
Jemby Solutions Inc.-ATT-PUBD-250MB	3.35	
CoWorkr Inc.-VDF-PUBD-250MB-European Countries Mid 2 carrier	11	
Specialty Coaches LLC-VZW-PUBS-40GB	97.05	
Johnny Gray-VZW-PUBS-20GB	48.65	
DMG TDBANK-VZW-PUBS-10GB :: aa41d3f6-6a69-4d5e-bea6-92ca9ae804d9	24.45	
DMG-TDBANK-VZW-PUBS-PPU  :: e50a50f8-1617-4948-b96f-7eb5602f4a92	0.25	
"Medicomp, Inc dba React Dx-VZW-DIA-PPU"	0.25	
Voltus-TLS-DIA-200MB	8	
STONE EAGLE Operations LLC-VZW-PUBS-1GB	2.67	
The Boltz Group-DEMO-PWS-PUBD-1GB	25	
"QurHealth, Inc-DEMO-PWS-PUBD-1GB-GREY"	25	
Belden Inc-DEMO-VZW-PUBS-1GB	2.67	
"Rurisond, Inc.-DEMO-AT&T-DIA-1GB"	5.99	
ZEF Energy Inc.-PWS-PUBD-1GB	8.4	
DMG (One Diversified LLC)-PWS-PUBD-PPU	0.4	
DMG-WELLS-PWS-PUBD-PPU	1	
Phantom Auto-VZW-PUBD-25GB	60.75	
B-Cycle (bcycle)-VZW-DIA-2GB	5.09	
Glen Barrilleaux-VZW-PUBS-10GB	24.45	
IP Source-VZW-PUBS-1GB	2.67	
Bryodyn Technologies LLC-VZW-PUBD-10GB-RR	24.45	
Western Weather Group Inc-DEMO-ATT-DIA-1GB	5.99	
GMV Syncromatics-DEMO-VZW-PUBS-1GB	2.67	
Cornell Pump Company-DEMO-PWS-PUBD-1GB	25	
"AccessToPower Inc, dba Access Electric-VZW-PUBD-1GB"	2.67	
Jemby Solutions Inc.-ATT-PUBD-1GB	6	
Peak Alarm Company-VZW-PUBS-10GB	24.45	
Greenlots-TELUS-DIA-100MB	7.5	
Vintners Logistics LLC-VZW-PUBS-10GB	24.45	
Dusty Robotics-DEMO-PWS-PUBD-1GB	25	
Christensen Irrigation (Singapore)-DEMO-PWS-1GB	75	
"Income Power, LLC-VZW-PUBD-2GB"	5.09	
"Gatekeeper Systems, Inc-DEMO-PWS-PUBS-1GB-GREY"	25	
DMG-BOFA-VZW-PUBS-PPU	0.25	
DMG MITSUBISHI-VZW-PUBD-PPU	0.25	
DMG-BARCO-VZW-PUBD-PPU	0.25	
DMG-TPN-VZW-PUBD-PPU	0.25	
Bryodyn Technologies LLC-ATT-PUBD-20GB	80	
DMG-LEXUS-VZW-PUBD-PPU	0.25	
Parcel Pending-DEMO-TMD-PUBD-1GB	7	
DMG-TDBANK-VZW-PUBD-PPU	0.25	
DMG-CREO-VZW-PUBD-PPU	0.25	
DMG-LULULEMON-VZW-PUBD-PPU	0.25	
DMG-WESTROCK-VZW-PUBD-PPU	0.25	
Rafa Systems-DEMO-ATT-DIA-1GB	8	
DMG-CVS-VZW-PUBD-PPU	0.25	
DMG-COCA-COLA-VZW-PUBD-PPU	0.25	
"Envirosmarts, LLC-TMO-PUBD-250MB"	3	
DMG-M&E-WEST-VZW-PUBD-PPU	0.25	
Elmer Fudd-PWS-DEMO-PUBD-1GB-BLUE	0	
Voltus-DEMO-PWS-PUBD-1GB-GREY	25	
DMG-SILVERCAST-VZW-PUBD-PPU	0.25	
Marathon Coach-TMD-PUBS-40GB	65	
Energy Boom-ATT-PUBD-1MB	0.29	
Western Weather Group Inc-DEMO-TMD-PUBS-1GB	7	
DMG-Birmingham-VA-VZW-PUBD-PPU	0.25	
Tetratech-TLS-PUBD-100MB	7	
VSBLTY-VZW-PUBD-5GB	12.35	
"Blueline Solutions, LLC-DEMO-VZW-PUBD-1GB"	2.67	
"Medicomp, Inc dba React Dx-ATT-DIA-PPU"	0.19	
Aptos Solar Technologies-DEMO-PWS-PUBD-GREY	25	
"AMERESCO ASSET SUSTAINABILITY GROUP, LLC-ATT-PUBD-1GB"	5.99	
"Flexigo, Inc.-VZW-PUBD-PPU"	0.25	
IBS2 LLC-DEMO-VZW-PUBD-1GB	2.67	
"Green Machine Equipment, Inc.-VZW-PUBD-4GB"	9.93	
Sensawash LLC-PWS-PUBD-250MB-GREY	4.15	
Bryodyn Technologies LLC-TMD-PUBD-10GB	25	
Mike Cosentino (Marathon)-VZW-PUBS-10GB	24.45	
Bryodyn Technologies LLC-TMD-PUBD-25GB	45	
David Schaffstall Demo VZW PUBD	0.25	
Dusty Robotics-VZW-DIA-PPU	0.25	
Westwood Property Management Inc-VZW-PUBD-2GB	5.09	
TVU-VZW-PUBD-PPU-GB	0.25	
21 Century Creations (Sparrow Labs)-PWS-PUBD-10MB	0.68	
 49607093-521636:Corporate IT Solutions-TLS-PUBD-500MB	10	
Rainbow Bridge Management-VZW-PUBS-2GB	5.09	
Middleby Marshall-DEMO-VZW-PUBD-1GB	2.67	
Aptos Solar Technologies-DEMO-ATT-DIA-1GB	6	
West of Chicago Restaurants-DEMO-VZW-PUBS-1GB :: 1695354d-35f8-4430-82f6-23dd86589da3	2.67	
DMG-BOFA-PWS-PUBS-PPU	0.4	
West of Chicago Restaurants-DEMO-VZW-PUBS-1GB	2.67	
DMG MITSUBISHI-PWS-PUBD-PPU	0.4	
Automated Electric Corporation-VZW-PUBS-1GB	2.67	
DMG-BARCO-PWS-PUBD-PPU	0.4	
"Swiftly, Inc.-VZW-PUBD-5GB"	12.35	
DMG-TPN-PWS-PUBD-PPU	0.4	
"Lamarr, Inc-DEMO-VZW-PUBD-1GB"	2.67	
DMG-LEXUS-PWS-PUBD-PPU	0.4	
Middleby Marshall-VZW-PUBD-1GB	2.67	
DMG-TDBANK-PWS-PUBD-PPU	0.4	
Scrip Inc-VZW-PUBS-50GB	121.25	
DMG-CREO-PWS-PUBD-PPU	0.4	
DPT Holdings LLC-VZW-PUBD-10GB	24.45	
DMG-LULULEMON-PWS-PUBD-PPU	0.4	
Cato Digital-VZW-PUBD-10GB	24.45	
DMG-WESTROCK-PWS-PUBD-PPU	0.4	
Edward Rachel-VZW-PUBS-10GB	24.45	
DMG-CVS-PWS-PUBD-PPU	0.4	
Country Agency-VZW-PUBS-200GB	484.25	
DMG-COCA-COLA-PWS-PUBD-PPU	0.4	
Country Agency-VZW-PUBS-300GB	726.25	
DMG-M&E-WEST-PWS-PUBD-PPU	0.4	
Creative Security Company Inc.-VZW-PUBS-1GB	2.67	
DMG-SILVERCAST-PWS-PUBD-PPU	0.4	
Bicycle Transit Systems-VZW-PUBD-2GB	5.09	
DMG-Birmingham-VA-PWS-PUBD-PPU	0.4	
Community Mutual Water-Demo-VZW-PUBD-1GB	2.67	
Automated Electric Corporation-VZW-PUBS-5GB	12.35	
William Foley-VZW-PUBS-10GB	24.45	
"Blueline Solutions, LLC-DEMO-PWS-PUBD-1GB-(BLUE)"	8.4	
"AMERESCO ASSET SUSTAINABILITY GROUP, LLC-VZW-PUBS-1GB"	2.67	
Global Connect-PWS-PN-1MB-US-CAN	0.4	
Taylor Company-VZW-PUBD-1GB	2.67	
 IBS2 LLC-DEMO-PWS-PUBD-1GB-GREY	8.4	
21 Century Creations (Sparrow Labs)-VZW-PUBD-PPU	0.25	
"Green Machine Equipment, Inc.-PWS-PUBD-PPU"	0.25	
"CoWorkr, Inc.-PWS-PUBD-250MB"	15.4	
Active Network Management Solutions Inc.-VZW-PUBS-30GB	72.85	
OptConnect-Matt Warner-DEMO-PWS-PUBD-1GB-GREY	25	
David Schaffstall Demo PWS Esim	0.4	
"Husk Companies, Inc-VZW-PUBD-2GB"	5.09	
HQCA-PWS-PUBD-10GB-BLUE	30.4	
Kinematics LLC-VZW-DIA-2GB	5.09	
"Golden Gate Group, Inc-VZW-PUBD-250MB"	0.84	
Westwood Property Management Inc-PWS-PUBD-PPU	0.4	
FirstFleet-SRA-PUBD-1MB	0.28	
"Income Power, LLC-VZW-PUBD-250MB"	0.84	
"Envirosmarts, LLC-VZW-PUBD-250MB"	0.84	
"Loftus Labs, LLC-VZW-PUBS-250MB"	0.84	
"EVmatch, Inc.-VZW-PUBS-250MB"	0.84	
"The Mobility House, LLC-TLS-PUBD-5GB"	40	
Taylor Company-VZW-PUBD-250MB	0.84	
NovaCharge-DEMO-PWS-PUBD-1GB-BLUE	8.4	
The Wonderful Company-VZW-PUBD-250MB	0.84	
Western Weather Group Inc.-TMD-PUBS-25MB	1.025	
"Revel Energy Inc, DBA Revel Solar Energy-VZW-PUBD-500MB"	1.43	
USConnect LLC-VZW-PUBD-1MB	0.25	
Global Connect-VZW-DIA-1MB	0.25	
Digi VZW Demo	0	
"AMERESCO ASSET SUSTAINABILITY GROUP, LLC-TMD-PUBS-1GB"	7.14	
Sparklight VZW DIA Demo PPU	0	
SensoScientific-ATT-PUBD-50MB	2.25	
AJ VZW TEST	0	
Sierra Controls-DEMO-VZW-PN-1GB-SMS	0	
Sierra Controls-DEMO-VZW-PUBD-1GB-NOSMS	0	
Rhombus-VZW-PUBD-PPU	0	
Voltus-PWS-PN-100MB-GREY	1.2	
Midway-VZW-PUBS-PPU		
Cato Digital-PWS-PUBD-PPU	0.4	
Panevo-DEMO-PWS-PUBD-1GB-GREY	8.59	
Midway-VZW-PUBS-SMS-PPU		
Midway-VZW-PUBS-TRM-SMS-PPU		
Midway-VZW-PUBS-TRM-PPU		
Midway-VZW-PUBD-PPU		
Midway-VZW-PUBD-SMS-PPU		
ISVPay Inc-TMD-PUBS-500MB	4	
Midway-VZW-PUBD-TRM-PPU		
Midway-VZW-PUBD-TRM-SMS-PPU		
Rhombus Energy Solutions-TLS-PUBD-100MB	9	
Dascor VZW DIA 1GB Demo	0	
FirstFleet-DEMO-PWS-PUBD-1GB-WL-BLACK	15	
WanderJaunt VZW PublicDynamic 1GB Demo	0	
Bulloch VZW DIA 1GB Demo	0	
Ranch Systems VZWPublicStatic 1GB demo :: 321ef3b1-c843-44d7-8fe4-51b0e874e705	0	
Riivet Verizon Public Dynamic 1GB Demo :: 0db3facb-62a3-4bd5-a75a-f343efa913ee	0	
OnDemand Visit-Demo-VZW-Public-1GB	0	
Eperture LLC-Demo-VZW-Public-1GB	0	
Horizon Roofing :: VZW Public Dynamic :: 1GB Demo	0	
DMG Demo-PWS-PUBS-1GB-GREY	8.59	
Carbon Health :: Public Dynamic :: 1GB Demo :: 4620442b-2256-49bc-a715-3014de5077ad	0	
Avanti VZW Demo	0	
Sensawash-DEMO-VZW-PUBD-1GB :: a0937a52-8e30-4d5e-aa09-420cbd29b50e	0	
ProcessWorx-DEMO-VZW-PUBD-1GB	0	
DMG-WELLS-DEMO-VZW-DIA-1GB :: 44dd7352-fb8e-4901-b867-4cc63f8e63af	0	
Augmedix-ATT-DIA-3GB	10	
The Wonderful Company-PWS-PUBD-PPU-BLUE	0.4	
Pat VZW Demo	0	
EV Power Source LLC-VZW-PUBD-1GB		
Varitec Controls-DEMO-VZW-PN-1GB		
Megger Limited Group-DEMO-VZW-PUBD		
PWS Hold - VZW Razor Devices	1	
Major Cement-VZW-PUBS-10GB	5	
Serve Robotics-DEMO-VZW-BI-PUBD-10MB	0.27	
"Platinum Advisors, LLC-VZW-PUBS-250GB"	400.25	
Kinematics LLC-PWS-PN-2GB		
"AMERESCO ASSET SUSTAINABILITY GROUP, LLC-VZW-PUBD-300GB"	91.08	
EV Power Source LLC-PWS-PUBD-PPU		
"AMERESCO ASSET SUSTAINABILITY GROUP, LLC-VZW-BI-300GB-25MBPS"	91.08	
Megger Limited Group-DEMO-PWS-PUBD-1GB-GREY		
Ray Walker-VZW-PUBD-300GB	91.08	
